topology,n_nodes,n_edges,mean_degree,n_cascades,mean_size,max_size,tau,ks
lattice,20,31,3.10,204,2.01,8,2.336,0.390
lattice,20,31,3.10,204,2.01,8,2.336,0.390
lattice,20,31,3.10,204,2.01,8,2.336,0.390
random,19,30,3.16,175,1.07,3,4.081,0.909
random,20,50,5.00,265,1.52,5,2.786,0.487
random,20,80,8.00,257,1.55,7,2.833,0.582
scale_free,20,19,1.90,0,N/A,N/A,N/A,N/A
scale_free,20,36,3.60,233,1.00,2,N/A,N/A
scale_free,20,64,6.40,254,1.57,7,2.716,0.519
small_world,20,20,2.00,379,1.01,3,N/A,N/A
small_world,20,40,4.00,214,1.98,16,2.379,0.500
small_world,20,80,8.00,217,1.84,8,2.347,0.405
